Día,Impr.,Usuarios únicos,Clics,Coste,Resultados
2025-08-18,4468,--,406,218741,2
2026-01-09,4464,--,585,369594,5
2024-09-14,4443,--,371,231556,10
2026-01-11,4442,--,437,331337,2
2023-10-27,4435,--,518,235692,28
2024-07-15,4422,--,312,247797,24
2024-05-11,4419,--,372,324514,9
2025-11-18,4415,--,510,296215,8
2023-11-14,4414,--,525,339854,11
2026-04-06,4388,--,289,274453,1
2026-02-24,4383,--,271,237289,0
2026-01-08,4376,--,640,390036,2
2026-05-28,4365,--,143,90265,0
2025-08-16,4364,--,408,237534,3
2026-02-14,4357,--,333,284298,0
2024-08-30,4348,--,387,195960,27
2024-07-18,4343,--,329,232850,9
2024-08-01,4336,--,307,189807,9
2026-05-31,4330,--,166,91754,1
2026-01-13,4329,--,579,450433,3
2025-08-27,4317,--,382,200774,1
2026-01-21,4312,--,586,421680,2
2024-06-18,4310,--,407,274682,10
2024-12-03,4310,--,518,384763,68
2024-09-15,4298,--,324,218904,9
2023-10-28,4292,--,473,265402,22
2023-09-29,4288,--,377,175804,12
2024-10-11,4263,--,357,230517,7
2026-01-12,4253,--,523,398274,3
2024-07-17,4237,--,338,258867,30
2026-03-03,4221,--,354,276599,0
2026-01-14,4219,--,538,438274,3
2024-02-12,4213,--,405,241093,16
2025-08-21,4212,--,402,155172,5
2023-12-28,4208,--,431,198000,17
2024-07-30,4203,--,341,275538,14
2024-09-11,4196,--,347,269468,5
2023-07-01,4179,--,378,120096,5
2023-10-05,4162,--,421,235451,14
2026-01-07,4155,--,554,369590,4
2024-07-04,4151,--,469,247804,17
2026-01-05,4147,--,473,413091,2
2025-08-31,4130,--,366,234663,2
2026-01-10,4117,--,491,367742,2
2025-08-14,4112,--,385,227599,1
2023-10-21,4110,--,427,230007,15
2024-10-08,4103,--,268,219166,5
2026-01-20,4092,--,549,383442,5
2024-08-26,4087,--,368,236423,22
2023-12-18,4085,--,465,253230,23
2026-01-23,4081,--,516,356899,3
2026-01-30,4081,--,282,299214,3
2025-12-02,4079,--,664,256451,12
2024-07-21,4075,--,390,257195,20
2026-01-03,4074,--,445,416393,1
2023-10-20,4070,--,397,245831,9
2024-09-04,4058,--,332,261348,8
2023-12-24,4051,--,263,189860,5
2023-09-25,4050,--,432,276884,7
2024-09-12,4049,--,366,260927,9
2025-12-31,4049,--,278,222346,6
2025-08-13,4044,--,296,256730,1
2026-05-25,4040,--,84,50903,0
2025-09-09,4029,--,366,184464,2
2023-12-16,4027,--,447,288601,10
2024-06-19,4026,--,432,272498,14
2023-12-29,4014,--,350,189580,6
2026-05-07,4011,--,161,79454,2
2026-01-15,4004,--,451,372670,0
2026-01-28,4001,--,517,372103,4
2023-10-30,3973,--,522,282010,39
2025-08-26,3971,--,368,208589,2
2023-10-22,3957,--,431,285776,16
2023-12-30,3948,--,341,182649,12
2024-08-27,3936,--,397,220361,16
2025-08-25,3932,--,436,329611,5
2024-09-07,3924,--,361,203017,5
2023-10-06,3917,--,376,209875,7
2025-08-22,3917,--,343,136835,3
2023-07-02,3914,--,366,105957,5
2026-03-28,3914,--,185,240753,0
2023-10-29,3908,--,421,302179,13
2024-02-13,3902,--,372,217116,12
2026-01-22,3900,--,460,378435,0
2026-04-03,3896,--,223,308925,0
2023-07-11,3894,--,518,207096,9
2024-08-24,3887,--,360,201516,20
2024-10-14,3867,--,332,226207,11
2025-08-29,3857,--,403,200951,4
2024-07-22,3851,--,376,295058,8
2023-12-23,3848,--,353,200082,13
2025-07-15,3836,--,344,200383,4
2025-08-17,3835,--,339,180377,1
2025-09-13,3823,--,364,189514,1
2025-08-30,3815,--,391,191304,4
2026-05-29,3809,--,153,93017,0
2024-01-07,3798,--,309,202763,10
2026-01-29,3795,--,402,322421,2
2025-11-21,3783,--,416,238917,4
2025-09-12,3754,--,336,168321,0
2026-01-24,3754,--,469,282469,2
2024-10-19,3749,--,371,191981,32
2026-02-04,3744,--,272,415642,0
2026-01-16,3722,--,500,346556,2
2025-07-22,3709,--,327,149533,4
2026-01-25,3701,--,496,297477,1
